ts;kafka_ts;signal_timestamp;signal_oem_timestamp;final_ts
2025-02-17T13:58:49.755Z;17.02.2025 16:58;2025-02-17 16:58:49.000;2025-02-17 16:58:49.000;
2025-02-20T13:36:46.431Z;20.02.2025 16:36;2025-02-20 16:36:45.000;2025-02-20 16:36:45.000;
2025-02-20T15:52:51.988Z;20.02.2025 18:52;2025-02-20 18:52:50.000;2025-02-20 18:52:50.000;
2025-02-08T07:06:39.042Z;8.02.2025 10:06;2025-02-08 10:06:27.000;2025-02-08 10:06:27.000;
2025-02-17T16:00:08.479Z;17.02.2025 19:00;2025-02-17 19:00:07.000;2025-02-17 19:00:07.000;
2025-02-18T20:09:48.235Z;18.02.2025 23:09;2025-02-18 23:09:47.000;2025-02-18 23:09:47.000;
2025-02-07T22:46:40.385Z;2025-02-08 01:46:42.053;2025-02-08 01:46:40.000;2025-02-08 01:46:40.000;
2025-02-19T09:01:57.334Z;19.02.2025 12:01;2025-02-19 12:01:57.000;2025-02-19 12:01:57.000;
2025-02-25T07:16:28.607Z;25.02.2025 10:16;2025-02-25 10:16:27.000;2025-02-25 10:16:27.000;
2025-02-08T17:29:20.851Z;8.02.2025 20:29;2025-02-08 20:29:20.000;2025-02-08 20:29:20.000;
2025-02-03T10:12:46.621Z;2025-02-03 13:12:47.099;2025-02-03 13:12:46.000;2025-02-03 13:12:46.000;
2025-02-18T15:29:53.400Z;18.02.2025 18:29;2025-02-18 18:29:53.000;2025-02-18 18:29:53.000;
2025-02-13T13:45:07.464Z;13.02.2025 16:45;2025-02-13 16:45:06.000;2025-02-13 16:45:06.000;
2025-02-06T06:53:38.194Z;6.02.2025 09:53;2025-02-06 09:53:37.000;2025-02-06 09:53:37.000;
2025-02-24T21:00:43.230Z;25.02.2025 00:00;2025-02-25 00:00:42.000;2025-02-25 00:00:42.000;
2025-02-22T06:38:38.558Z;22.02.2025 09:38;2025-02-06 13:09:59.000;2025-02-06 13:09:59.000;
2025-02-27T16:57:32.758Z;27.02.2025 19:57;2025-02-27 19:57:31.000;2025-02-27 19:57:31.000;
2025-02-24T07:43:01.167Z;24.02.2025 10:43;2025-02-24 10:42:56.000;2025-02-24 10:42:56.000;
2025-02-12T16:53:25.004Z;12.02.2025 19:53;2025-02-12 19:53:25.000;2025-02-12 19:53:25.000;
2025-02-16T10:33:29.149Z;16.02.2025 13:33;2025-02-16 13:33:28.000;2025-02-16 13:33:28.000;
2025-02-17T13:21:23.823Z;17.02.2025 16:21;2025-02-17 16:21:23.000;2025-02-17 16:21:23.000;
2025-02-04T02:16:19.279Z;4.02.2025 05:16;2025-02-04 05:16:03.000;2025-02-04 05:16:03.000;
2025-02-18T14:28:43.616Z;18.02.2025 17:28;2025-02-18 17:28:42.000;2025-02-18 17:28:42.000;
2025-02-19T07:45:31.697Z;19.02.2025 10:46;2025-02-19 10:45:31.000;2025-02-19 10:45:31.000;
2025-02-13T11:45:35.020Z;13.02.2025 14:45;2025-02-13 14:45:34.000;2025-02-13 14:45:34.000;
2025-02-06T08:42:58.420Z;6.02.2025 11:42;2025-02-06 11:42:58.000;2025-02-06 11:42:58.000;
2025-02-19T16:59:39.015Z;19.02.2025 19:59;2025-02-19 19:59:38.000;2025-02-19 19:59:38.000;
2025-02-07T10:54:05.303Z;7.02.2025 13:54;7.02.2025 13:54;2025-02-07 13:54:04.000;
2025-02-04T06:14:03.697Z;4.02.2025 09:14;2025-02-04 09:14:02.000;2025-02-04 09:14:02.000;
2025-02-14T19:16:16.064Z;14.02.2025 22:16;2025-02-14 22:16:15.000;2025-02-14 22:16:15.000;
2025-02-26T06:50:49.933Z;26.02.2025 10:04;2025-02-26 09:50:34.000;2025-02-26 09:50:34.000;
2025-02-25T13:52:20.489Z;25.02.2025 16:52;2025-02-25 16:52:19.000;2025-02-25 16:52:19.000;
2025-02-17T07:05:24.310Z;17.02.2025 10:05;2025-02-17 10:05:24.000;2025-02-17 10:05:24.000;
2025-02-20T08:46:38.752Z;20.02.2025 11:46;2025-02-20 11:46:19.000;2025-02-20 11:46:19.000;
2025-02-08T08:25:42.783Z;8.02.2025 11:25;2025-02-08 11:25:42.000;2025-02-08 11:25:42.000;
2025-02-04T05:10:16.730Z;4.02.2025 08:10;2025-02-04 08:10:16.000;2025-02-04 08:10:16.000;
2025-02-06T14:20:54.995Z;6.02.2025 17:20;2025-02-06 17:20:53.000;2025-02-06 17:20:53.000;
2025-02-14T11:05:00.414Z;14.02.2025 14:05;2025-02-14 14:04:59.000;2025-02-14 14:04:59.000;
2025-02-18T05:45:47.890Z;18.02.2025 08:45;2025-02-18 08:45:47.000;2025-02-18 08:45:47.000;
2025-02-05T17:14:39.665Z;5.02.2025 20:14;2025-02-05 20:14:39.000;2025-02-05 20:14:39.000;
2025-02-17T20:17:22.866Z;17.02.2025 23:17;2025-02-17 23:17:22.000;2025-02-17 23:17:22.000;
2025-02-08T15:21:00.344Z;8.02.2025 18:21;2025-02-08 18:20:58.000;2025-02-08 18:20:58.000;
2025-02-18T11:40:56.435Z;18.02.2025 14:40;2025-02-18 14:40:55.000;2025-02-18 14:40:55.000;
2025-02-27T06:57:15.352Z;27.02.2025 09:57;2025-02-27 09:57:14.000;2025-02-27 09:57:14.000;
2025-02-04T17:12:12.134Z;4.02.2025 20:12;2025-02-04 20:08:18.000;2025-02-04 20:08:18.000;
2025-02-22T07:29:28.401Z;22.02.2025 10:29;2025-02-22 10:29:28.000;2025-02-22 10:29:28.000;
2025-02-13T07:47:45.792Z;13.02.2025 10:47;2025-02-13 10:47:44.000;2025-02-13 10:47:44.000;
2025-02-22T01:22:26.954Z;2025-02-22 04:22:28.081;2025-02-22 04:22:25.000;2025-02-22 04:22:25.000;
2025-02-04T09:06:57.737Z;4.02.2025 12:06;2025-02-04 12:06:57.000;2025-02-04 12:06:57.000;
2025-02-08T14:16:37.677Z;8.02.2025 17:16;2025-02-08 17:16:37.000;2025-02-08 17:16:37.000;
2025-02-23T11:17:37.201Z;23.02.2025 14:17;2025-02-23 14:17:36.000;2025-02-23 14:17:36.000;
2025-02-22T11:28:35.362Z;22.02.2025 14:28;2025-02-22 14:28:34.000;2025-02-22 14:28:34.000;
2025-02-16T13:55:43.072Z;16.02.2025 16:55;2025-02-16 16:55:42.000;2025-02-16 16:55:42.000;
2025-02-08T08:56:10.476Z;8.02.2025 11:56;2025-02-08 11:56:09.000;2025-02-08 11:56:09.000;
2025-02-26T02:05:55.287Z;26.02.2025 05:05;2025-02-26 05:05:54.000;2025-02-26 05:05:54.000;
2025-02-25T18:20:00.353Z;25.02.2025 21:20;2025-02-25 21:20:00.000;2025-02-25 21:20:00.000;
2025-02-21T15:10:03.179Z;21.02.2025 18:10;2025-02-21 18:10:01.000;2025-02-21 18:10:01.000;
2025-02-05T04:11:42.775Z;5.02.2025 07:11;2025-02-05 07:11:41.000;2025-02-05 07:11:41.000;
2025-02-08T17:56:08.069Z;8.02.2025 20:56;2025-02-08 20:56:08.000;2025-02-08 20:56:08.000;
2025-02-09T13:05:33.732Z;9.02.2025 16:05;2025-02-09 16:05:32.000;2025-02-09 16:05:32.000;
2025-02-13T04:05:00.202Z;13.02.2025 07:05;2025-02-13 07:05:00.000;2025-02-13 07:05:00.000;
2025-02-08T01:15:58.282Z;8.02.2025 04:15;2025-02-08 04:15:48.000;2025-02-08 04:15:48.000;
2025-02-16T15:32:40.248Z;16.02.2025 18:32;2025-02-16 18:32:39.000;2025-02-16 18:32:39.000;
2025-02-04T06:58:08.838Z;2025-02-04 09:58:09.011;2025-02-04 09:57:19.000;2025-02-04 09:57:19.000;
2025-02-06T15:32:18.232Z;6.02.2025 18:32;2025-02-06 18:32:17.000;2025-02-06 18:32:17.000;
2025-02-24T16:31:24.282Z;24.02.2025 19:31;2025-02-24 19:31:15.000;2025-02-24 19:31:15.000;
2025-02-05T08:28:15.424Z;5.02.2025 11:28;2025-02-05 11:27:28.000;2025-02-05 11:27:28.000;
2025-02-24T04:49:44.458Z;24.02.2025 07:49;2025-02-24 07:49:31.000;2025-02-24 07:49:31.000;
2025-02-21T13:18:37.412Z;21.02.2025 16:18;2025-02-21 16:18:35.000;2025-02-21 16:18:35.000;
2025-02-25T09:22:42.908Z;25.02.2025 12:22;2025-02-25 12:22:41.000;2025-02-25 12:22:41.000;
2025-02-06T12:14:02.482Z;6.02.2025 15:14;2025-02-06 15:14:02.000;2025-02-06 15:14:02.000;
2025-02-27T15:02:32.866Z;2025-02-27 18:02:33.032;2025-02-27 18:02:32.000;2025-02-27 18:02:32.000;
2025-02-15T06:45:04.837Z;2025-02-15 09:45:05.000;2025-02-15 09:45:01.000;2025-02-15 09:45:01.000;
2025-02-21T10:31:05.669Z;21.02.2025 13:31;2025-02-21 13:31:04.000;2025-02-21 13:31:04.000;
2025-02-11T09:12:03.465Z;11.02.2025 12:12;2025-02-11 12:12:02.000;2025-02-11 12:12:02.000;
2025-02-11T10:10:04.401Z;11.02.2025 13:10;2025-02-11 13:10:04.000;2025-02-11 13:10:04.000;
2025-02-13T04:59:19.036Z;13.02.2025 07:59;2025-02-13 07:59:18.000;2025-02-13 07:59:18.000;
2025-02-28T05:19:56.786Z;28.02.2025 08:56;2025-02-28 08:19:54.000;2025-02-28 08:19:54.000;
2025-02-06T07:46:51.152Z;6.02.2025 10:46;2025-02-06 10:46:50.000;2025-02-06 10:46:50.000;
2025-01-31T21:29:43.421Z;1.02.2025 00:29;2025-02-01 00:29:42.000;2025-02-01 00:29:42.000;
2025-02-24T14:56:10.102Z;24.02.2025 17:56;2025-02-24 17:56:09.000;2025-02-24 17:56:09.000;
2025-02-13T10:43:45.228Z;13.02.2025 13:43;2025-02-13 13:43:45.000;2025-02-13 13:43:45.000;
2025-02-20T14:03:18.093Z;20.02.2025 17:03;2025-02-20 17:03:16.000;2025-02-20 17:03:16.000;
2025-02-02T08:17:02.647Z;2.02.2025 11:17;2025-02-02 11:16:50.000;2025-02-02 11:16:50.000;
2025-02-08T18:25:10.779Z;8.02.2025 21:25;2025-02-08 21:25:09.000;2025-02-08 21:25:09.000;
2025-02-22T14:07:39.198Z;22.02.2025 17:07;2025-02-22 17:07:38.000;2025-02-22 17:07:38.000;
2025-02-17T15:07:17.916Z;17.02.2025 18:07;17.02.2025 18:07;2025-02-17 18:07:18.000;
2025-02-08T07:29:07.051Z;8.02.2025 10:29;2025-02-08 10:29:06.000;2025-02-08 10:29:06.000;
2025-02-28T07:31:37.644Z;28.02.2025 10:31;2025-02-28 10:31:37.000;2025-02-28 10:31:37.000;
2025-02-26T15:11:41.367Z;26.02.2025 18:11;2025-02-26 18:11:40.000;2025-02-26 18:11:40.000;
2025-02-25T09:48:02.008Z;25.02.2025 12:48;2025-02-25 12:48:01.000;2025-02-25 12:48:01.000;
2025-02-19T06:39:38.496Z;19.02.2025 09:39;2025-02-19 09:39:37.000;2025-02-19 09:39:37.000;
2025-02-28T09:48:13.031Z;28.02.2025 12:48;2025-02-28 12:48:12.000;2025-02-28 12:48:12.000;
2025-02-24T09:55:41.518Z;24.02.2025 12:55;2025-02-24 12:55:40.000;2025-02-24 12:55:40.000;
2025-02-08T15:10:47.600Z;8.02.2025 18:10;2025-02-08 18:10:43.000;2025-02-08 18:10:43.000;
2025-02-05T18:57:39.922Z;2025-02-05 21:57:40.084;2025-02-05 21:57:38.000;2025-02-05 21:57:38.000;
2025-02-06T05:34:48.557Z;6.02.2025 09:10;2025-02-06 08:34:47.000;2025-02-06 08:34:47.000;
2025-02-27T15:51:12.973Z;27.02.2025 18:51;2025-02-27 18:51:12.000;2025-02-27 18:51:12.000;
2025-02-20T00:10:12.031Z;20.02.2025 03:10;2025-02-20 03:10:11.000;2025-02-20 03:10:11.000;
2025-02-27T11:08:51.836Z;27.02.2025 14:09;2025-02-27 14:08:50.000;2025-02-27 14:08:50.000;
2025-02-04T10:10:28.472Z;4.02.2025 13:10;2025-02-04 13:10:28.000;2025-02-04 13:10:28.000;
2025-02-03T10:40:40.606Z;2025-02-03 13:40:41.032;2025-02-03 13:40:40.000;2025-02-03 13:40:40.000;
2025-02-03T11:00:01.874Z;2025-02-03 14:00:02.043;2025-02-03 14:00:01.000;2025-02-03 14:00:01.000;
2025-02-21T08:02:57.740Z;21.02.2025 11:04;2025-02-21 11:02:56.000;2025-02-21 11:02:56.000;
2025-02-02T21:01:32.130Z;3.02.2025 00:01;2025-02-03 00:01:30.000;2025-02-03 00:01:30.000;
2025-02-28T04:39:19.710Z;28.02.2025 07:39;2025-02-28 07:39:17.000;2025-02-28 07:39:17.000;
2025-02-18T15:08:44.180Z;18.02.2025 18:08;2025-02-18 18:06:22.000;2025-02-18 18:06:22.000;
2025-02-14T23:08:02.528Z;15.02.2025 02:08;2025-02-15 02:08:01.000;2025-02-15 02:08:01.000;
2025-02-05T09:25:39.424Z;5.02.2025 12:25;2025-02-05 12:24:12.000;2025-02-05 12:24:12.000;
2025-02-15T12:12:34.576Z;2025-02-15 15:12:35.023;2025-02-15 15:12:33.000;2025-02-15 15:12:33.000;
2025-02-01T08:35:39.134Z;1.02.2025 11:35;2025-02-01 11:35:38.000;2025-02-01 11:35:38.000;
2025-02-20T14:37:18.372Z;20.02.2025 17:37;2025-02-20 17:37:17.000;2025-02-20 17:37:17.000;
2025-02-08T11:48:43.442Z;8.02.2025 14:48;2025-02-08 14:48:42.000;2025-02-08 14:48:42.000;
2025-02-27T14:45:55.705Z;27.02.2025 17:45;2025-02-27 17:45:54.000;2025-02-27 17:45:54.000;
2025-02-06T03:38:46.770Z;6.02.2025 06:38;2025-02-06 06:38:46.000;2025-02-06 06:38:46.000;
2025-02-20T12:24:32.474Z;20.02.2025 15:24;2025-02-20 15:24:32.000;2025-02-20 15:24:32.000;
2025-02-18T11:24:17.204Z;18.02.2025 14:24;2025-02-18 14:24:16.000;2025-02-18 14:24:16.000;
2025-02-20T06:20:59.890Z;20.02.2025 09:21;2025-02-20 09:20:59.000;2025-02-20 09:20:59.000;
2025-02-12T09:43:15.747Z;12.02.2025 12:43;2025-02-12 12:43:14.000;2025-02-12 12:43:14.000;
2025-02-26T09:14:49.237Z;26.02.2025 12:14;26.02.2025 12:14;2025-02-26 12:14:47.000;
2025-02-06T05:22:04.490Z;6.02.2025 08:43;2025-02-06 08:22:03.000;2025-02-06 08:22:03.000;
2025-02-14T06:37:25.003Z;14.02.2025 09:37;2025-02-14 09:37:25.000;2025-02-14 09:37:25.000;
2025-02-26T06:35:01.305Z;26.02.2025 09:42;2025-02-26 09:35:00.000;2025-02-26 09:35:00.000;
2025-02-21T14:56:44.560Z;21.02.2025 17:56;2025-02-21 17:56:44.000;2025-02-21 17:56:44.000;
2025-02-18T16:14:31.145Z;18.02.2025 19:14;2025-02-18 19:14:29.000;2025-02-18 19:14:29.000;
2025-02-03T11:36:57.252Z;3.02.2025 14:36;2025-02-03 14:36:57.000;2025-02-03 14:36:57.000;
2025-02-04T11:09:14.403Z;4.02.2025 14:41;2025-02-04 14:09:14.000;2025-02-04 14:09:14.000;
2025-02-12T07:11:41.500Z;12.02.2025 10:11;2025-02-12 10:11:40.000;2025-02-12 10:11:40.000;
2025-02-27T21:41:23.717Z;28.02.2025 00:41;2025-02-28 00:41:23.000;2025-02-28 00:41:23.000;
2025-02-25T05:20:22.570Z;25.02.2025 08:27;2025-02-25 08:20:21.000;2025-02-25 08:20:21.000;
2025-02-25T23:49:58.941Z;26.02.2025 02:49;2025-02-26 02:49:58.000;2025-02-26 02:49:58.000;
2025-02-26T05:10:13.022Z;26.02.2025 08:22;2025-02-26 08:10:12.000;2025-02-26 08:10:12.000;
2025-02-04T15:08:56.780Z;4.02.2025 18:08;2025-02-04 18:08:55.000;2025-02-04 18:08:55.000;
2025-02-26T11:06:25.555Z;26.02.2025 14:06;2025-02-26 14:06:25.000;2025-02-26 14:06:25.000;
2025-02-24T11:58:52.094Z;24.02.2025 14:58;2025-02-24 14:58:52.000;2025-02-24 14:58:52.000;
2025-02-21T06:27:59.142Z;21.02.2025 09:28;2025-02-21 09:27:58.000;2025-02-21 09:27:58.000;
2025-02-19T08:46:16.965Z;19.02.2025 11:46;2025-02-19 11:46:16.000;2025-02-19 11:46:16.000;
2025-02-27T09:52:05.703Z;27.02.2025 12:52;2025-02-27 12:52:05.000;2025-02-27 12:52:05.000;
2025-02-18T03:14:56.928Z;18.02.2025 06:14;2025-02-18 06:14:55.000;2025-02-18 06:14:55.000;
2025-02-25T15:47:43.211Z;25.02.2025 18:47;2025-02-25 18:47:42.000;2025-02-25 18:47:42.000;
2025-02-03T05:52:45.011Z;3.02.2025 09:33;2025-02-03 08:52:43.000;2025-02-03 08:52:43.000;
2025-02-05T11:15:27.690Z;5.02.2025 14:15;2025-02-05 14:15:27.000;2025-02-05 14:15:27.000;
2025-02-14T08:49:25.699Z;14.02.2025 11:49;2025-02-14 11:49:25.000;2025-02-14 11:49:25.000;
2025-02-09T06:41:17.228Z;9.02.2025 09:41;2025-02-09 09:41:16.000;2025-02-09 09:41:16.000;
2025-02-27T08:16:49.089Z;27.02.2025 11:16;2025-02-27 11:16:48.000;2025-02-27 11:16:48.000;
2025-02-01T09:40:42.509Z;1.02.2025 12:40;2025-02-01 12:40:40.000;2025-02-01 12:40:40.000;
2025-02-14T09:53:46.822Z;14.02.2025 12:53;2025-02-14 12:53:46.000;2025-02-14 12:53:46.000;
2025-02-17T10:53:01.650Z;17.02.2025 13:53;2025-02-17 13:52:57.000;2025-02-17 13:52:57.000;
2025-02-05T23:12:49.323Z;6.02.2025 02:12;2025-02-06 02:12:48.000;2025-02-06 02:12:48.000;
2025-02-05T11:44:24.003Z;5.02.2025 14:44;2025-02-05 14:44:24.000;2025-02-05 14:44:24.000;
2025-02-24T11:13:13.893Z;2025-02-24 14:13:14.048;2025-02-24 14:13:13.000;2025-02-24 14:13:13.000;
2025-02-10T22:14:18.623Z;2025-02-11 01:14:19.049;2025-02-11 01:14:18.000;2025-02-11 01:14:18.000;
2025-02-12T11:00:25.341Z;12.02.2025 14:00;12.02.2025 14:00;2025-02-12 14:00:25.000;
2025-02-11T08:36:30.775Z;11.02.2025 11:36;2025-02-11 11:36:30.000;2025-02-11 11:36:30.000;
2025-02-14T16:05:00.372Z;14.02.2025 19:05;2025-02-14 19:04:59.000;2025-02-14 19:04:59.000;
2025-02-27T08:45:15.050Z;27.02.2025 11:45;27.02.2025 11:45;2025-02-27 11:45:14.000;
2025-02-20T14:42:58.925Z;20.02.2025 17:42;2025-02-20 17:42:57.000;2025-02-20 17:42:57.000;
2025-02-01T08:21:52.917Z;2025-02-01 11:21:53.084;2025-02-01 11:21:47.000;2025-02-01 11:21:47.000;
2025-02-25T10:07:05.072Z;25.02.2025 13:07;2025-02-25 13:07:00.000;2025-02-25 13:07:00.000;
2025-02-21T13:06:59.826Z;21.02.2025 16:07;21.02.2025 16:06;2025-02-21 16:07:00.000;
2025-02-07T09:39:12.125Z;7.02.2025 12:39;2025-02-07 12:39:11.000;2025-02-07 12:39:11.000;
2025-02-03T07:01:18.879Z;3.02.2025 10:01;2025-02-03 10:01:18.000;2025-02-03 10:01:18.000;
2025-02-05T13:59:48.279Z;2025-02-05 16:59:49.049;2025-02-05 16:59:48.000;2025-02-05 16:59:48.000;
2025-02-03T04:53:23.295Z;3.02.2025 07:53;2025-02-03 07:53:21.000;2025-02-03 07:53:21.000;
2025-02-22T13:24:26.548Z;22.02.2025 16:24;2025-02-22 16:24:25.000;2025-02-22 16:24:25.000;
2025-02-04T02:15:54.184Z;4.02.2025 05:15;2025-02-04 05:15:53.000;2025-02-04 05:15:53.000;
2025-02-04T19:53:43.052Z;4.02.2025 22:53;2025-02-04 22:53:42.000;2025-02-04 22:53:42.000;
2025-02-19T08:35:53.946Z;19.02.2025 11:35;2025-02-19 11:35:53.000;2025-02-19 11:35:53.000;
2025-02-07T14:11:06.691Z;7.02.2025 17:11;2025-02-07 17:11:05.000;2025-02-07 17:11:05.000;
2025-02-06T07:34:02.674Z;6.02.2025 10:34;2025-02-06 10:34:02.000;2025-02-06 10:34:02.000;
2025-02-17T04:45:40.609Z;17.02.2025 07:45;2025-02-17 07:45:39.000;2025-02-17 07:45:39.000;
2025-02-26T02:18:43.955Z;26.02.2025 05:18;2025-02-26 05:18:43.000;2025-02-26 05:18:43.000;
2025-02-07T14:40:19.162Z;7.02.2025 17:40;2025-02-07 17:40:18.000;2025-02-07 17:40:18.000;
2025-02-08T05:51:14.681Z;8.02.2025 08:51;2025-02-08 08:51:12.000;2025-02-08 08:51:12.000;
2025-02-26T08:11:19.434Z;26.02.2025 11:13;2025-02-26 11:11:18.000;2025-02-26 11:11:18.000;
2025-02-01T18:17:59.952Z;1.02.2025 21:18;2025-02-01 21:17:59.000;2025-02-01 21:17:59.000;
2025-02-11T13:03:13.283Z;11.02.2025 16:03;2025-02-11 16:03:09.000;2025-02-11 16:03:09.000;
2025-02-07T17:32:42.081Z;7.02.2025 20:32;2025-02-07 20:32:41.000;2025-02-07 20:32:41.000;
2025-02-20T12:53:19.923Z;2025-02-20 15:53:20.098;2025-02-20 15:53:18.000;2025-02-20 15:53:18.000;
2025-02-21T14:28:59.682Z;21.02.2025 17:28;2025-02-21 17:28:58.000;2025-02-21 17:28:58.000;
2025-02-14T08:26:46.193Z;14.02.2025 11:26;2025-02-14 11:26:31.000;2025-02-14 11:26:31.000;
2025-02-25T11:27:34.418Z;25.02.2025 14:27;2025-02-25 14:27:34.000;2025-02-25 14:27:34.000;
2025-02-04T09:47:21.583Z;4.02.2025 12:47;2025-02-04 12:47:21.000;2025-02-04 12:47:21.000;
2025-02-06T06:12:20.791Z;6.02.2025 09:20;2025-02-06 09:12:19.000;2025-02-06 09:12:19.000;
2025-02-03T11:06:48.847Z;2025-02-03 14:06:49.003;2025-02-03 14:06:46.000;2025-02-03 14:06:46.000;
2025-02-06T09:11:02.145Z;6.02.2025 12:11;2025-02-06 12:11:01.000;2025-02-06 12:11:01.000;
2025-02-13T07:42:04.241Z;2025-02-13 10:42:05.061;2025-02-13 10:42:03.000;2025-02-13 10:42:03.000;
2025-02-06T07:34:58.739Z;6.02.2025 10:34;6.02.2025 10:34;2025-02-06 10:34:59.000;
2025-02-24T08:55:06.982Z;24.02.2025 11:55;2025-02-24 11:55:06.000;2025-02-24 11:55:06.000;
2025-02-23T06:34:09.903Z;2025-02-23 09:34:10.066;2025-02-23 09:34:08.000;2025-02-23 09:34:08.000;
2025-02-20T10:48:30.710Z;20.02.2025 13:48;2025-02-20 13:48:29.000;2025-02-20 13:48:29.000;
2025-02-13T13:12:14.411Z;13.02.2025 16:12;2025-02-13 16:12:14.000;2025-02-13 16:12:14.000;
2025-02-13T16:48:48.627Z;13.02.2025 19:48;2025-02-13 19:48:47.000;2025-02-13 19:48:47.000;
2025-02-22T09:23:49.864Z;22.02.2025 12:23;2025-02-22 12:23:49.000;2025-02-22 12:23:49.000;
2025-02-26T07:19:51.999Z;26.02.2025 10:35;2025-02-26 10:19:51.000;2025-02-26 10:19:51.000;
2025-02-17T12:14:16.905Z;17.02.2025 15:14;2025-02-17 15:14:15.000;2025-02-17 15:14:15.000;
2025-02-16T04:29:11.081Z;16.02.2025 07:29;2025-02-16 07:29:09.000;2025-02-16 07:29:09.000;
2025-02-27T08:29:38.480Z;27.02.2025 11:29;2025-02-27 11:29:38.000;2025-02-27 11:29:38.000;
2025-02-18T10:33:04.002Z;18.02.2025 13:33;2025-02-18 13:33:02.000;2025-02-18 13:33:02.000;
2025-02-16T13:46:44.131Z;16.02.2025 16:46;2025-02-16 16:46:43.000;2025-02-16 16:46:43.000;
2025-02-13T06:06:57.435Z;13.02.2025 09:06;2025-02-13 09:06:56.000;2025-02-13 09:06:56.000;
2025-02-26T10:25:28.922Z;26.02.2025 13:25;2025-02-26 13:25:28.000;2025-02-26 13:25:28.000;
2025-02-27T06:50:38.731Z;27.02.2025 09:59;2025-02-27 09:50:38.000;2025-02-27 09:50:38.000;
